,closeMid,complete,highMid,lowMid,openMid,time,volume
0,2.4589,True,2.4593,2.4517,2.4533,2005-01-01T22:00:00.000000Z,236
1,2.44675,True,2.465,2.43865,2.4586,2005-01-02T22:00:00.000000Z,34469
2,2.46165,True,2.46265,2.44095,2.44675,2005-01-03T22:00:00.000000Z,57687
3,2.46165,True,2.46935,2.45505,2.46135,2005-01-04T22:00:00.000000Z,58119
4,2.46495,True,2.47335,2.45705,2.46165,2005-01-05T22:00:00.000000Z,51317
5,2.4701,True,2.47645,2.45635,2.46425,2005-01-06T22:00:00.000000Z,51468
6,2.47,True,2.4758,2.4683,2.4686,2005-01-08T22:00:00.000000Z,337
7,2.47575,True,2.47655,2.46445,2.4697,2005-01-09T22:00:00.000000Z,46275
8,2.46575,True,2.47765,2.45685,2.47555,2005-01-10T22:00:00.000000Z,50508
9,2.46535,True,2.48185,2.45715,2.46575,2005-01-11T22:00:00.000000Z,52705
10,2.45915,True,2.4725,2.45085,2.46565,2005-01-12T22:00:00.000000Z,52594
11,2.4652,True,2.47295,2.4558,2.45915,2005-01-13T22:00:00.000000Z,56528
12,2.4619,True,2.4639,2.4597,2.4639,2005-01-15T22:00:00.000000Z,200
13,2.45365,True,2.4691,2.44845,2.4619,2005-01-16T22:00:00.000000Z,31714
14,2.47065,True,2.48305,2.45355,2.45395,2005-01-17T22:00:00.000000Z,55739
15,2.46005,True,2.47515,2.44985,2.47065,2005-01-18T22:00:00.000000Z,62483
16,2.46735,True,2.46945,2.45455,2.46005,2005-01-19T22:00:00.000000Z,55244
17,2.4398,True,2.46945,2.42975,2.46725,2005-01-20T22:00:00.000000Z,52506
18,2.4396,True,2.4399,2.4391,2.4397,2005-01-21T22:00:00.000000Z,60
19,2.4426,True,2.4448,2.4415,2.4418,2005-01-22T22:00:00.000000Z,239
20,2.44205,True,2.44675,2.4325,2.4426,2005-01-23T22:00:00.000000Z,45273
21,2.43595,True,2.44735,2.43105,2.44205,2005-01-24T22:00:00.000000Z,52498
22,2.42855,True,2.44225,2.42755,2.43595,2005-01-25T22:00:00.000000Z,52849
23,2.4309,True,2.43575,2.42155,2.42895,2005-01-26T22:00:00.000000Z,59893
